Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
PNG,PAPUA NEW GUINEA,,,,13.8,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,,,,0.0,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,,,,,,,,7.1,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,
PSE,STATE OF PALESTINE,8.2,,,,5.3,,,11.4,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,QATAR,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,,,,,,,,,8.3,9.1,8.9,10.1,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,,,7.1,,,,,,6.7,,,,,7.2,,,,,,,,4.0,,,,,,,,,,,,,,,,2.2,,,,,,
SAU,SAUDI ARABIA,,,,,,,,,,6.1,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,3.0,,,,,,,,5.3,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,1.3,1.5,0.7,2.8,,,,,,2.4,,,,,3.2,,,,,,,4.0,,,,,,,2.2,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,
SLB,SOLOMON ISLANDS,,,,,,,,2.5,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,4.1
SLE,SIERRA LEONE,,8.9,,,10.3,,10.1,,,5.9,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,
SLV,EL SALVADOR,,,,,,,5.7,,,,,5.8,,,,,3.9,,,,,3.9,,,,,3.0,,,,,,,,,,,,,,,,,,
SOM,SOMALIA,,,,,,3.0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,13.9,,,,15.6,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,6.0,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,11.6,,,15.4,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,4.0,,,,4.0,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,10.7,,,11.4,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,17.9,,,18.7,,,,,19.7,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,,,2.8,,,,,,4.4,,,,2.7,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,,,1.6,,,,4.7,,,,,,,,2.6,,,,,,,,,,3.2,,,,,,,,,,,0.8,,,,,,,
THA,THAILAND,,,10.9,,,,,,8.0,,,,,,,,,,,4.7,,,,,,,,1.3,,,,,,,,,,,,,,,,,
TJK,TAJIKISTAN,,,6.6,,,4.2,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,,5.8,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,4.0,,,,,,,,,,,8.2,,,,,,
TUN,TUNISIA,,,14.3,,,,,,8.8,,,,,,,,,1.4,,25.4,,,,,,,4.3,,,,,,,,,,,,,3.6,,,,,
TUR,TURKEY,10.9,,,,,,,,,,9.1,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
TUV,TUVALU,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,,5.5,,,,,4.9,,,,,,3.3,,,4.6,,,,5.7,,,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,,,,3.8,,,,,4.9,,,,,4.9,,,,,,5.1,,,,,,3.6,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,7.7,,,,8.4,,,9.4,12.2,10.0,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,UNITED STATES,,,6.0,,7.8,,,,8.1,,8.0,,7.0,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,4.0,,,,,
UZB,UZBEKISTAN,,,,,,,,,12.8,,,,11.1,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,VENEZUELA,,,,,,6.4,6.3,6.1,6.1,5.5,5.2,5.3,5.4,5.4,5.3,5.2,4.9,5.0,4.7,4.7,5.0,4.9,4.9,4.3,4.0,,,9.0,,,,,5.5,,,,,,,,,,,,
VNM,VIET NAM,,4.6,,4.6,,,3.0,2.9,3.1,2.6,2.7,2.2,2.6,,2.5,1.8,1.4,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,4.6,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,SAMOA,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,1.5,,,,,,,,5.0,,,,,,3.7,6.9,,,,8.1,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,19.2,19.2,,,,,9.6,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,8.4,,,,,5.9,,,12.3,,6.2,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,3.6,,,5.8,,3.5,,,9.1,,,,,,,10.6,,,,,7.6,,,,,,5.4,,,,,,,,,,,,,,,,,,
