Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
TLS,EAST TIMOR,,,,,18.9,,24.5,,,,,14.3,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,3.5,,,,,,,,,,,11.7,,,,,,,,,,
TUN,TUNISIA,,,2.8,,,,,,3.4,,,,,,2.9,,,7.2,,4.5,,,,,,,4.4,,,,,,,,,,,,,2.1,,,,,,,,,
TUR,TURKEY,1.7,,,,,,0.8,,,,1.1,,,,,,3.0,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUV,TUVALU,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,6.6,4.9,2.7,,,,3.5,,,,,,5.6,,,8.5,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,,,,4.8,,,,,6.3,,,,,5.0,,,,,,7.0,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,,,,,,,,,0.3,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,1.1,,,,2.2,,,3.0,2.4,2.4,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,UNITED STATES,,,0.5,,0.5,,,,0.8,,0.6,,0.4,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,4.5,,,,8.9,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,VENEZUELA,,,,,,4.1,4.5,5.0,4.8,4.8,5.2,5.2,4.8,4.4,3.9,4.0,4.4,3.8,3.8,3.8,3.8,4.0,4.3,4.5,5.7,,,2.2,,,,,1.8,,,,,,,,,,,,,,,,
VNM,VIET NAM,,5.7,,4.4,,,9.7,10.1,8.4,10.7,11.3,10.9,8.9,,6.1,11.6,11.9,,,,13.5,6.7,,,,11.1,,,,,8.5,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,4.4,,,,,,5.9,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,SAMOA,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,13.3,,,,,,,,15.2,,,,,,16.5,17.4,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,4.7,,,7.4,7.4,,,,,4.4,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,5.6,,,,,6.2,,,5.7,,5.4,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,3.3,,,3.1,,3.8,,,7.3,,,,,,,8.5,,,,,6.3,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,
