Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
GRD,GRENADA,11230.0,10770.0,10760.0,10390.0,10020.0,11040.0,10730.0,10020.0,10160.0,8090.0,8160.0,7310.0,7040.0,7150.0,6850.0,6150.0,5790.0,5490.0,5220.0,5110.0,4900.0,5030.0,4950.0,4580.0,3920.0,3510.0,3250.0,2830.0,,,,,,
GTM,GUATEMALA,7130.0,6930.0,6720.0,6510.0,6410.0,6520.0,6350.0,5970.0,5660.0,5450.0,5290.0,5190.0,5090.0,4950.0,4780.0,4660.0,4470.0,4300.0,4210.0,4020.0,3880.0,3730.0,3560.0,3370.0,2260.0,2140.0,2030.0,1940.0,1970.0,1960.0,1940.0,1970.0,1980.0,1850.0
GUY,GUYANA,6610.0,6210.0,5790.0,5460.0,5130.0,4960.0,4750.0,4310.0,4310.0,3910.0,4010.0,3950.0,3830.0,3730.0,3680.0,3480.0,3500.0,3340.0,3020.0,2760.0,2370.0,1930.0,1630.0,1450.0,750.0,870.0,830.0,880.0,890.0,820.0,850.0,880.0,970.0,910.0
HKG,HONG KONG,54270.0,51920.0,51450.0,48150.0,45260.0,47440.0,44680.0,40890.0,36640.0,33730.0,30560.0,28480.0,28170.0,27190.0,25210.0,24160.0,25250.0,23660.0,23750.0,23050.0,21820.0,19670.0,18280.0,16970.0,15770.0,15010.0,13420.0,11650.0,10410.0,10160.0,8990.0,8310.0,7740.0,6650.0
HND,HONDURAS,4270.0,4190.0,4110.0,3990.0,3980.0,4090.0,3920.0,3600.0,3350.0,3110.0,2930.0,2820.0,2750.0,2670.0,2530.0,2570.0,2510.0,2350.0,2280.0,2230.0,2260.0,2050.0,1970.0,1900.0,1810.0,1710.0,1620.0,1540.0,1550.0,1480.0,1410.0,1380.0,1390.0,1270.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),20810.0,20480.0,20010.0,18440.0,18780.0,19900.0,18540.0,16630.0,15210.0,14410.0,13200.0,12540.0,11580.0,10850.0,9890.0,10150.0,9720.0,9110.0,8110.0,,,,,,,,,,,,,,,
HTI,HAITI,1720.0,1650.0,1590.0,1490.0,1580.0,1540.0,1510.0,1450.0,1420.0,1370.0,,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,22660.0,21530.0,21440.0,20480.0,19850.0,19470.0,18010.0,17650.0,16340.0,15580.0,14890.0,14130.0,12950.0,11490.0,10600.0,10210.0,9550.0,9090.0,8840.0,8660.0,8260.0,7650.0,7650.0,8540.0,8400.0,8030.0,7750.0,7200.0,6920.0,6730.0,6340.0,5970.0,5540.0,5020.0
IDN,INDONESIA,9270.0,8750.0,8190.0,7640.0,7150.0,6870.0,6410.0,5950.0,5510.0,5140.0,4870.0,4240.0,4110.0,4010.0,3840.0,3900.0,4630.0,4420.0,4090.0,3760.0,3440.0,2900.0,2660.0,2650.0,1290.0,1160.0,1060.0,1000.0,940.0,900.0,840.0,760.0,730.0,630.0
IND,INDIA,5350.0,5000.0,4750.0,4410.0,4020.0,3720.0,3570.0,3200.0,2880.0,2590.0,2380.0,2190.0,2110.0,2000.0,1920.0,1770.0,1670.0,1610.0,1490.0,1380.0,1290.0,1230.0,1160.0,1130.0,810.0,750.0,680.0,650.0,620.0,580.0,560.0,510.0,480.0,420.0
