Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
DOM,DOMINICAN REPUBLIC,,228.0,12.0,137.0,32.0,31.0,175.0,,148.0,781.0,61.0,31.0,3.0,,16.0,372.0,,256.0,13.0,70.0,30.0,54.0,10.0,60.0,50.0,0.0,103.0,12.0,12.0,,0.0,,20.0,7.0,1432.0,0.0,,,,,,,,,,0.0,,74.0,0.0,7.0,400.0,,,,,,,,,,,,,
DZA,ALGERIA,,83.0,10.0,31.0,103.0,124.0,90.0,37.0,55.0,104.0,2523.0,173.0,921.0,70.0,46.0,,5.0,12.0,50.0,255.0,37.0,41.0,0.0,24.0,49.0,0.0,33.0,,56.0,54.0,,167.0,43.0,2635.0,0.0,,,,,11.0,21.0,,,,76.0,,20.0,57.0,2.0,0.0,0.0,,,57.0,48.0,,,,,1250.0,,25.0,,
ECU,ECUADOR,36.0,72.0,7.0,112.0,3.0,55.0,62.0,67.0,,,38.0,138.0,58.0,146.0,0.0,118.0,248.0,87.0,3.0,24.0,450.0,222.0,375.0,28.0,65.0,20.0,5244.0,,0.0,60.0,219.0,307.0,,8.0,,,0.0,81.0,0.0,,25.0,,20.0,49.0,400.0,,36.0,50.0,0.0,0.0,,,,,,,,,,,71.0,,,50.0
EGY,EGYPT,78.0,92.0,106.0,69.0,103.0,350.0,73.0,1278.0,136.0,316.0,119.0,607.0,147.0,163.0,222.0,45.0,107.0,159.0,173.0,621.0,112.0,598.0,505.0,19.0,10.0,100.0,137.0,50.0,16.0,98.0,196.0,100.0,,,53.0,,40.0,,15.0,48.0,,,,,,,,,,,,,,,,,,,20.0,0.0,,,,
ERI,ERITREA,,,,,,0.0,,,56.0,0.0,0.0,,,,0.0,,,72.0,33.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,SPAIN,80.0,14.0,33.0,17.0,20.0,183.0,62.0,68.0,38.0,39.0,15162.0,33.0,106.0,87.0,35.0,30.0,72.0,115.0,44.0,42.0,40.0,63.0,17.0,83.0,45.0,,66.0,,222.0,26.0,399.0,117.0,340.0,197.0,92.0,252.0,,1.0,28.0,4.0,519.0,84.0,400.0,52.0,,,,,30.0,,,445.0,,,135.0,,77.0,11.0,,,50.0,,,
EST,ESTONIA,,1.0,10.0,,,,,,3.0,,,,22.0,,,,,,,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,ETHIOPIA,0.0,0.0,0.0,35.0,135.0,65.0,22.0,1319.0,335.0,45.0,144.0,105.0,471.0,519.0,68.0,21.0,326.0,49.0,160.0,26.0,32.0,0.0,163.0,0.0,78.0,7476.0,421.0,0.0,1502.0,,300000.0,,990.0,157.0,,9.0,71.0,0.0,,,100000.0,,,500.0,24.0,1.0,,,2000.0,,,,0.0,,,,,,,,,,,
FIN,FINLAND,,,,,,,,,0.0,24.0,,,,,,11.0,,,,,,,,0.0,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
FJI,FIJI,,17.0,,2.0,14.0,7.0,7.0,4.0,0.0,16.0,17.0,,1.0,4.0,29.0,0.0,25.0,,,,21.0,1.0,,0.0,10.0,,1.0,20.0,32.0,,9.0,,0.0,18.0,53.0,0.0,,,0.0,,59.0,3.0,,,,,,,2.0,1.0,,,,,,0.0,,,,,,23.0,,
