Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
JOR,JORDAN,5272.0,5236.0,5235.0,5359.0,5241.0,5037.0,4718.0,4450.0,,,,,3630.0,,,,,,,,,,3115.0,,,,,,,,,,3979.0
JPN,JAPAN,32545.0,31766.0,31754.0,30422.0,32358.0,32698.0,31837.0,31150.0,,,,,29313.0,,,,,,,,,,26706.0,,,,,,,,,,17851.0
KAZ,KAZAKHSTAN,10451.0,9920.0,9569.0,9187.0,8953.0,8991.0,8418.0,7880.0,,,,,5039.0,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,1541.0,1509.0,1478.0,1440.0,1437.0,1450.0,1395.0,1350.0,,,,,1274.0,,,,,,,,,,1357.0,,,,,,,,,,1340.0
KGZ,KYRGYZSTAN,2009.0,2008.0,1865.0,1978.0,1953.0,1864.0,1724.0,1660.0,,,,,1420.0,,,,,,,,,,2523.0,,,,,,,,,,
KHM,CAMBODIA,2095.0,1988.0,1868.0,1792.0,1806.0,1722.0,1583.0,1440.0,,,,,1002.0,,,,,,,,,,,,,,,,,,,,
KIR,KIRIBATI,3079.0,3052.0,3172.0,3017.0,3380.0,3370.0,3517.0,3520.0,,,,,3799.0,,,,,,,,,,3309.0,,,,,,,,,,2869.0
KNA,SAINT KITTS AND NEVIS,12460.0,12709.0,12785.0,13306.0,14378.0,13999.0,14725.0,13930.0,,,,,12997.0,,,,,,,,,,9623.0,,,,,,,,,,5425.0
KOR,"KOREA, REPUBLIC OF",28231.0,27620.0,26804.0,25411.0,25530.0,24995.0,23880.0,22760.0,,,,,18636.0,,,,,,,,,,11368.0,,,,,,,,,,5459.0
KWT,KUWAIT,52793.0,51026.0,48492.0,48614.0,53589.0,54896.0,54744.0,53120.0,,,,,45168.0,,,,,,,,,,37224.0,,,,,,,,,,51872.0
LAO,LAOS ,2435.0,2280.0,2162.0,2096.0,1943.0,1855.0,1715.0,1650.0,,,,,1296.0,,,,,,,,,,942.0,,,,,,,,,,
LBN,LEBANON,12364.0,12279.0,12452.0,11803.0,11191.0,10469.0,9629.0,9510.0,,,,,8792.0,,,,,,,,,,6992.0,,,,,,,,,,
LBR,LIBERIA,480.0,452.0,392.0,378.0,341.0,316.0,271.0,250.0,,,,,332.0,,,,,,,,,,,,,,,,,,,,1706.0
LBY,LIBYA,13765.0,6327.0,15529.0,15273.0,15386.0,15552.0,14811.0,13930.0,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,7971.0,7964.0,7983.0,7647.0,9119.0,8756.0,8835.0,8200.0,,,,,8037.0,,,,,,,,,,6812.0,,,,,,,,,,4210.0
