Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
LSO,LESOTHO,26.7,26.7,26.7,24.2,24.2,24.2,25.0,25.0,11.8,11.7,11.7,11.7,11.7,3.8,3.8,3.8,3.8,4.6,4.6,,,,,,,
LTU,LITHUANIA,23.4,24.1,24.5,19.1,19.1,19.1,17.7,22.7,24.8,22.0,22.0,10.6,10.6,10.6,10.6,17.5,17.5,17.5,17.5,,,,,,,
LUX,LUXEMBURG,28.3,28.3,21.7,25.0,20.0,20.0,23.3,23.3,23.3,23.3,23.3,16.7,16.7,16.7,16.7,16.7,20.0,20.0,20.0,,,,,,,13.3
LVA,LATVIA,18.0,25.0,23.0,23.0,20.0,22.0,20.0,20.0,19.0,21.0,21.0,21.0,21.0,17.0,17.0,17.0,17.0,9.0,9.0,,,,,,,
MAR,MOROCCO,17.0,17.0,17.0,17.0,10.5,10.5,10.5,10.5,10.8,10.8,10.8,10.8,10.8,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,0.0
MCO,MONACO,20.8,20.8,19.0,19.0,26.1,26.1,25.0,20.8,20.8,20.8,20.8,20.8,22.2,22.2,22.2,22.2,22.2,5.6,5.6,,,,,,,11.1
MDA,"MOLDOVA, REPUBLIC OF",20.8,18.8,19.8,19.8,18.8,23.8,21.8,21.8,21.8,21.8,15.8,12.9,12.9,12.9,7.9,8.9,,4.8,4.8,,,,,,,
MDG,MADAGASCAR,20.5,23.1,17.5,17.5,12.5,,7.9,7.9,6.9,6.9,6.9,3.8,3.8,8.0,8.0,8.0,,3.7,3.7,,,,,,,6.5
MDV,MALDIVES,5.9,6.8,6.5,6.5,6.5,6.5,12.0,12.0,12.0,12.0,12.0,6.0,6.0,6.0,6.0,,6.3,6.3,6.3,,,,,,,6.3
MEX,MEXICO,38.0,37.4,36.8,26.2,26.2,27.6,23.2,23.2,22.6,24.2,22.6,22.6,16.0,16.0,16.0,18.2,17.4,14.2,14.2,,,,,,,12.0
MHL,MARSHALL ISLANDS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,
MKD,MACEDONIA,33.3,34.1,32.5,30.9,32.5,32.5,31.7,29.2,28.3,19.2,19.2,18.3,18.3,6.7,6.7,7.5,7.5,3.3,3.3,,,,,,,
MLI,MALI,9.5,9.5,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,12.2,12.2,12.2,12.2,12.2,2.3,,,,,,,
MLT,MALTA,12.9,14.3,8.7,8.7,8.7,8.7,8.7,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,5.8,5.8,,,,,,,2.9
MMR,MYANMAR (Burma) ,6.2,5.6,6.0,3.5,4.3,,,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,17.3,14.8,17.3,12.3,11.1,11.1,11.1,11.1,8.6,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,14.9,14.9,14.9,3.9,3.9,3.9,4.1,6.6,6.6,6.7,6.8,10.5,10.5,10.5,10.5,7.9,7.9,7.9,7.9,,,,,,,24.9
MOZ,MOZAMBIQUE,39.6,39.2,39.2,39.2,39.2,39.2,34.8,34.8,34.8,34.8,34.8,30.0,30.0,30.0,30.0,,25.2,25.2,25.2,,,,,,,15.7
MRT,MAURITANIA,25.2,25.2,22.1,22.1,22.1,22.1,22.1,22.1,17.9,,3.7,3.7,,,3.8,3.8,3.8,1.3,1.3,,,,,,,
