Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
CUB,CUBA,108.8934,111.105,113.0118,114.9186,116.8254,118.7322,120.639,122.6418,124.6446,126.6474,128.6502,130.653,132.34,134.027,135.714,137.401,139.088,141.117,143.146,145.175,147.204,149.233,148.9262,148.6194,148.3126,148.0058,147.699,147.4004,147.1018,146.8032,146.5046,146.206,147.5672,148.9284,150.2896,151.6508,153.012,152.8162,152.6204,152.4246,152.2288,152.033,155.2014,158.3698,161.5382,164.7066,167.875,175.5098,183.1446,190.7794,198.4142,206.049,213.396,220.743
CYP,CYPRUS,72.0596,73.6,75.184,76.768,78.352,79.936,81.52,82.8036,84.0872,85.3708,86.6544,87.938,89.3292,90.7204,92.1116,93.5028,94.894,96.4006,97.9072,99.4138,100.9204,102.427,104.0538,105.6806,107.3074,108.9342,110.561,112.3198,114.0786,115.8374,117.5962,119.355,121.2602,123.1654,125.0706,126.9758,128.881,130.9382,132.9954,135.0526,137.1098,139.167,141.39,143.613,145.836,148.059,150.282,152.6822,155.0824,157.4826,159.8828,162.283,164.88,167.477
CZE,CZECH REPUBLIC,,,131.7,135.5,138.809,143.581,145.893,146.832,154.668,160.059,166.393,165.066,167.709,172.744,176.406,179.571,188.824,190.235,195.103,200.707,202.925,215.192,217.452,230.704,215.409,216.199,217.832,222.697,222.953,224.757,226.952,218.593,223.623,229.172,219.658,220.428,216.262,214.474,213.021,215.091,216.591,214.098,221.317,225.304,223.271,212.491,202.789,197.263,199.071,196.657,199.981,201.65,193.625,200.636
DEU,GERMANY,,,96.404,99.738,101.461,102.288,104.142,106.923,109.984,112.196,117.623,119.159,120.396,124.083,125.598,128.289,134.196,139.574,143.494,147.17,149.754,152.849,157.366,157.867,,,,,,,,,,177.0,,,,,,,,,,195.0,,,,,,,,,,195.0
DJI,DJIBOUTI,276.3378,281.392,288.2872,295.1824,302.0776,308.9728,315.868,322.3214,328.7748,335.2282,341.6816,348.135,347.1954,346.2558,345.3162,344.3766,343.437,338.7036,333.9702,329.2368,324.5034,319.77,319.2834,318.7968,318.3102,317.8236,317.337,320.2002,323.0634,325.9266,328.7898,331.653,335.9094,340.1658,344.4222,348.6786,352.935,356.1384,359.3418,362.5452,365.7486,368.952,375.4566,381.9612,388.4658,394.9704,401.475,405.9514,410.4278,414.9042,419.3806,423.857,428.8442,433.8314
DMA,DOMINICA,,,,,,,,,,,,,,183.0,,,,,,,,,,154.176853397986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,,,97.115,104.779,106.664,107.398,115.815,115.752,111.163,121.313,118.098,124.134,123.978,125.852,127.696,128.899,133.343,141.157,142.262,145.696,146.091,147.299,150.575,155.27,159.477,156.808,162.53,161.73,162.232,161.538,164.767,164.417,165.818,166.599,166.875,159.598,159.768,166.882,159.805,164.712,163.153,161.403,160.316,158.52,154.359,153.083,157.047,156.568,158.761,156.645,155.858,156.897,150.996,150.648
DOM,DOMINICAN REPUBLIC,207.3724,209.723,211.5886,213.4542,215.3198,217.1854,219.051,221.2222,223.3934,225.5646,227.7358,229.907,230.4636,231.0202,231.5768,232.1334,232.69,232.9368,233.1836,233.4304,233.6772,233.924,234.3438,234.7636,235.1834,235.6032,236.023,236.8068,237.5906,238.3744,239.1582,239.942,240.316,240.69,241.064,241.438,241.812,241.9176,242.0232,242.1288,242.2344,242.34,244.6162,246.8924,249.1686,251.4448,253.721,260.4066,267.0922,273.7778,280.4634,287.149,295.248,303.347
DZA,ALGERIA,162.8936,163.809,164.853,165.897,166.941,167.985,169.029,170.7328,172.4366,174.1404,175.8442,177.548,178.9496,180.3512,181.7528,183.1544,184.556,186.773,188.99,191.207,193.424,195.641,197.5762,199.5114,201.4466,203.3818,205.317,213.6554,221.9938,230.3322,238.6706,247.009,258.834,270.659,282.484,294.309,306.134,312.0944,318.0548,324.0152,329.9756,335.936,338.8362,341.7364,344.6366,347.5368,350.437,353.6268,356.8166,360.0064,363.1962,366.386,369.7592,373.1324
ECU,ECUADOR,166.0382,168.868,171.2166,173.5652,175.9138,178.2624,180.611,182.046,183.481,184.916,186.351,187.786,189.2246,190.6632,192.1018,193.5404,194.979,195.8902,196.8014,197.7126,198.6238,199.535,201.2478,202.9606,204.6734,206.3862,208.099,211.0818,214.0646,217.0474,220.0302,223.013,226.5572,230.1014,233.6456,237.1898,240.734,243.7118,246.6896,249.6674,252.6452,255.623,258.0338,260.4446,262.8554,265.2662,267.677,270.0396,272.4022,274.7648,277.1274,279.49,288.622,297.754
EGY,EGYPT,190.917,193.468,195.8852,198.3024,200.7196,203.1368,205.554,207.3076,209.0612,210.8148,212.5684,214.322,215.5722,216.8224,218.0726,219.3228,220.573,222.0454,223.5178,224.9902,226.4626,227.935,229.3918,230.8486,232.3054,233.7622,235.219,236.9364,238.6538,240.3712,242.0886,243.806,245.7384,247.6708,249.6032,251.5356,253.468,255.4522,257.4364,259.4206,261.4048,263.389,265.2928,267.1966,269.1004,271.0042,272.908,274.8856,276.8632,278.8408,280.8184,282.796,284.744,286.692
